form,fields,text,checkbox_groups,checkbox_singles,radio_groups,radio_singles
ar-11.json,25,19,3,0,0,0
g-1041.json,70,64,2,2,0,0
g-1041a.json,71,61,3,6,0,0
g-1055.json,62,57,0,0,0,0
g-1145.json,5,5,0,0,0,0
g-1256.json,26,24,2,0,0,0
g-1450.json,22,19,2,0,0,0
g-1566.json,75,65,3,6,0,0
g-1650.json,11,9,2,0,0,0
g-28.json,85,68,3,12,0,0
g-28i.json,75,61,2,12,0,0
g-325a.json,132,120,6,4,0,0
g-639.json,151,109,2,38,0,0
g-845-supplement.json,138,98,8,30,0,0
g-845.json,99,51,6,42,0,0
g-884.json,119,107,7,1,0,0
i-102.json,106,81,2,17,0,0
i-129.json,766,517,69,157,0,0
i-129cwr.json,162,129,10,13,0,0
i-129f.json,341,276,49,0,0,0
i-129s.json,153,132,17,1,0,0
i-130.json,386,289,20,57,0,0
i-130a.json,168,144,11,6,0,0
i-131.json,245,175,30,33,0,0
i-131a.json,116,95,14,3,0,0
i-134.json,198,169,13,6,0,0
i-134a.json,304,244,20,16,0,0
i-140.json,212,148,10,50,0,0
i-191.json,311,245,29,26,0,0
i-192.json,170,150,13,1,0,0
i-193.json,30,28,1,1,0,0
i-212.json,234,198,22,1,0,0
i-290b.json,73,67,3,1,0,0
i-360.json,399,315,50,23,0,0
i-361.json,221,187,25,1,0,0
i-363.json,135,106,20,1,0,0
i-407.json,56,48,6,1,0,0
i-485-supplement-a.json,47,41,4,1,0,0
i-485-supplement-j.json,117,105,9,0,0,0
i-485.json,451,291,148,2,0,0
i-508.json,80,73,4,0,0,0
i-526.json,345,262,51,19,0,0
i-526e.json,329,233,67,18,0,0
i-539.json,131,80,9,38,0,0
i-539a.json,85,65,18,1,0,0
i-589.json,284,208,41,35,0,0
i-590.json,398,320,74,4,0,0
i-600.json,363,256,32,68,0,0
i-600a.json,245,167,13,60,0,0
i-601.json,227,157,18,43,0,0
i-601a.json,190,122,37,22,0,0
i-602.json,176,118,8,44,0,0
i-612.json,153,130,14,1,0,0
i-687.json,142,101,41,0,0,0
i-690.json,164,121,11,26,0,0
i-693.json,341,253,27,56,0,0
i-694.json,83,67,11,1,0,0
i-698.json,154,96,49,5,0,0
i-730.json,238,204,20,5,0,0
i-751.json,241,170,41,18,0,0
i-765.json,129,108,14,3,0,0
i-765v.json,165,130,21,7,0,0
i-800.json,198,136,42,12,0,0
i-800a.json,189,142,38,2,0,0
i-817.json,349,243,38,47,0,0
i-821.json,331,201,99,20,0,0
i-821d.json,168,117,31,8,0,0
i-824.json,161,148,6,3,0,0
i-829.json,280,218,43,6,0,0
i-864.json,187,161,11,12,0,0
i-864a.json,133,117,8,6,0,0
i-864ez.json,117,100,12,2,0,0
i-865.json,115,101,9,1,0,0
i-881.json,338,257,62,9,0,0
i-9.json,128,115,0,8,0,0
i-90.json,130,95,16,13,0,0
i-907.json,112,93,8,6,0,0
i-912.json,154,136,12,3,0,0
i-914.json,285,118,9,148,0,0
i-918.json,254,152,84,7,0,0
i-929.json,222,197,24,0,0,0
i-941.json,371,305,39,11,0,0
i-942.json,100,80,20,0,0,0
i-956.json,138,114,10,10,0,0
i-956f.json,251,202,33,10,0,0
i-956g.json,199,169,18,7,0,0
i-956h.json,140,98,35,4,0,0
i-956k.json,163,118,28,14,0,0
n-300.json,134,113,7,8,0,0
n-336.json,121,94,8,13,0,0
n-400.json,290,200,85,0,0,0
n-470.json,112,90,13,6,0,0
n-565.json,118,94,6,16,0,0
n-600.json,336,252,38,27,0,0
n-600k.json,200,160,29,1,0,0
n-648.json,66,48,6,11,0,0